TYP,PFAD,KNOTENZAHL,DUPLIKATION,VERLUST,HGT,EVOLUTIONSRATE,BI_ANZAHL,DI_ANZAHL,EM_ANZAHL,FITCH,DELETION_RATE,SPECIAL,PARTIAL_BI_ANZAHL,PARTIAL_DI_ANZAHL,PARTIAL_EM_ANZAHL,PARTIAL_FITCH,ALGO_ONE_ORDER,ALGO_ONE_DIFF,ALGO_TWO_DIFF
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_34,10,0.25,0.5,1.0,34,22,27,14,True,0.8,True,4,0,2,True,"(1, 2, 0)",0.9333333333333333,0.5888888888888889
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,4,41,4,False,0.8,True,0,0,0,True,"(1, 2, 0)",0.9555555555555556,0.4666666666666667
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_35,10,0.25,0.5,1.0,35,24,24,18,True,0.3,True,16,0,12,True,"(0, 2, 1)",0.5111111111111111,0.5444444444444444
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,18,6,60,False,0.3,True,12,0,42,False,"(0, 2, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_36,10,0.25,0.5,1.0,36,14,27,22,True,0.1,True,12,0,20,True,"(1, 2, 0)",0.6444444444444445,0.32222222222222224
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,28,11,40,False,0.1,True,26,0,36,False,"(1, 2, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_37,10,0.25,0.5,1.0,37,12,24,30,True,0.9,False,2,3,2,True,"(0, 1, 2)",0.8666666666666667,0.5
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,74,1,14,False,0.9,False,8,1,2,True,"(0, 1, 2)",0.13333333333333333,0.4888888888888889
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_38,10,0.25,0.5,1.0,38,18,30,12,True,0.8,False,4,6,2,True,"(1, 2, 0)",0.6666666666666666,0.43333333333333335
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,6,14,56,False,0.8,False,2,3,12,True,"(1, 2, 0)",0.4,0.37777777777777777
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_39,10,0.25,0.5,1.0,39,6,21,42,True,0.4,True,4,0,26,True,"(1, 0, 2)",0.6666666666666666,0.4222222222222222
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,4,4,78,False,0.4,True,2,0,46,False,"(1, 0, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_4,10,0.25,0.5,1.0,4,14,27,22,True,0.1,False,12,25,20,True,"(0, 2, 1)",0.05555555555555555,0.05555555555555555
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,42,4,40,False,0.1,False,38,4,36,False,"(0, 2, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_40,10,0.25,0.5,1.0,40,24,26,14,True,0.5,True,12,0,6,True,"(0, 2, 1)",0.5333333333333333,0.4666666666666667
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,4,17,52,False,0.5,True,2,0,26,False,"(0, 2, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_41,10,0.25,0.5,1.0,41,28,24,14,True,0.8,True,6,0,2,True,"(2, 1, 0)",0.5333333333333333,0.5888888888888889
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,6,29,26,False,0.8,True,2,0,6,True,"(2, 1, 0)",0.6222222222222222,0.5555555555555556
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_42,10,0.25,0.5,1.0,42,2,16,56,True,0.4,False,2,10,34,True,"(1, 0, 2)",0.3111111111111111,0.3111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,70,4,12,False,0.4,False,42,3,8,False,"(1, 0, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_43,10,0.25,0.5,1.0,43,10,28,24,True,0.7,False,2,9,8,True,"(1, 2, 0)",0.5666666666666667,0.4444444444444444
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,48,1,40,False,0.7,False,14,1,12,False,"(1, 2, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_44,10,0.25,0.5,1.0,44,16,28,18,True,0.4,True,10,0,10,True,"(1, 0, 2)",0.7777777777777778,0.5111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,2,36,16,False,0.4,True,2,0,10,False,"(1, 0, 2)",-1.0,-1.0
